keen.timestamp,keen.created_at,keen.id,Category,CategoryExpanded,CategoryWhere,Collections,Copyright,Dimensions,Filename,Format,MediaIrn,Object,ObjectIrn,Size,TransactionID
2014-11-08T03:39:10.015Z,2014-11-08T03:39:10.015Z,545d905e0727191015aadba9,not-selected,,,Art,Creative Commons BY-NC-ND,2427 x 1809,MA_I219648.jpg,JPEG,218100,"Return of the sardine fishers, Concarneau",42143,1.19 MB,bcfb-691b-b712-730c-0c89
2014-11-08T05:39:24.346Z,2014-11-08T05:39:24.346Z,545dac8ce861706b9d0c1de0,Research,,,Photography,No known copyright restrictions,640 x 477,MA_I010531.640x640.jpg,JPEG,704,"Arthur’s Point Bridge, Shotover River, Wakatipu, NZ",17806,0.20 MB,af33-c4cc-b113-9536-c462
2014-11-08T06:27:03.187Z,2014-11-08T06:27:03.187Z,545db7b780a7bd68554bb61d,not-selected,,,Photography,No known copyright restrictions,4828 x 3516,MA_I250538.4828x3516.jpg,JPEG,249316,Greymouth,1210536,3.91 MB,2c78-77a5-c13d-8aa9-ef8e
2014-11-08T08:54:44.465Z,2014-11-08T08:54:44.465Z,545dda540727190fe1457e7b,not-selected,,,Photography,No known copyright restrictions,3436 x 4658,MA_I261280.3436x4658.jpg,JPEG,260218,Portrait of James Gillham,365531,4.12 MB,a71f-a468-51fa-0aa4-0b9b
2014-11-08T19:57:45.892Z,2014-11-08T19:57:45.892Z,545e75b9248196695928c5af,not-selected,,,Photography,No known copyright restrictions,3000 x 2152,MA_I113784.jpg,JPEG,108378,"Pango Pango [Pago Pago] Harbour, Samoa",742257,2.07 MB,631c-b4cd-13fd-c336-742d
2014-11-09T00:39:00.567Z,2014-11-09T00:39:00.567Z,545eb7a4e8759668197be3aa,not-selected,,,Photography,No known copyright restrictions,640 x 486,MA_I028875.649x493.jpg,JPEG,25209,Dannevirke,17217,0.03 MB,8dd4-a131-d21c-8d8d-f802
2014-11-09T00:42:01.385Z,2014-11-09T00:42:01.385Z,545eb8597d8cb96daee55446,not-selected,,,Photography,No known copyright restrictions,3000 x 2242,MA_I039847.3000x3000.jpg,JPEG,37060,"Ngaruawahia, Waikato",21464,3.55 MB,8df9-e799-578e-cf61-932a
2014-11-09T01:03:12.025Z,2014-11-09T01:03:12.025Z,545ebd5036bca44f12c354e9,Personal,,,Photography,No known copyright restrictions,640 x 488,MA_I023007.643x491.jpg,JPEG,17428,"Mount Eden, Auckland",21207,0.03 MB,9e1b-5ea5-6b93-17d8-4b29
2014-11-09T01:04:08.668Z,2014-11-09T01:04:08.668Z,545ebd88c9e1634f7c2df4b8,Personal,,,Photography,No known copyright restrictions,8059 x 6198,MA_I239173.8059x6198.jpg,JPEG,237822,[Auckland from Mount Eden],22411,9.14 MB,cf62-43c0-7bbb-fd7d-73eb
2014-11-09T01:05:17.882Z,2014-11-09T01:05:17.882Z,545ebdcd36bca44f12c359d7,Personal,,,Photography,No known copyright restrictions,7926 x 6160,MA_I043628.7926x6160.jpg,JPEG,40758,[Auckland from Mount Eden],22296,11.23 MB,4eab-c06a-3a7e-23d5-01c1
2014-11-09T01:06:17.966Z,2014-11-09T01:06:17.966Z,545ebe097d8cb96dbd8a57d5,Personal,,,Photography,No known copyright restrictions,9257 x 6988,MA_I045798.9257x6988.jpg,JPEG,43128,[Auckland from Mount Eden],22383,14.10 MB,e5aa-e3d5-47ed-7c9f-8bfa
2014-11-09T01:20:30.636Z,2014-11-09T01:20:30.636Z,545ec15ee861706bc1fe2471,not-selected,,,Photography,No known copyright restrictions,6610 x 4352,MA_I259988.6610x4352.jpg,JPEG,258946,"Oamaru, from the Windmill",320617,3.41 MB,6466-94fe-224b-4100-cf25
2014-11-09T03:37:00.461Z,2014-11-09T03:37:00.461Z,545ee15ce8759667e7b7dc36,not-selected,,,Photography,No known copyright restrictions,640 x 489,MA_I011799.647x495.jpg,JPEG,2432,"Grand Hotel, Dunedin",17673,0.06 MB,acc1-1e4c-bef7-e509-7ca7
2014-11-09T05:03:59.361Z,2014-11-09T05:03:59.361Z,545ef5bf80a7bd683b16265e,not-selected,,,History,Creative Commons BY-NC-ND,4318 x 7320,MA_I288114.4318x7320.jpg,JPEG,287758,Military uniform - New Zealand Staff Corps,49263,2.55 MB,cf09-37b5-d635-6b2f-6b29
2014-11-09T08:07:57.694Z,2014-11-09T08:07:57.694Z,545f20dd33e406615f55dcd4,not-selected,,,Photography,No known copyright restrictions,5000 x 3435,MA_I150376.jpg,JPEG,145692,GENERAL VIEW LAWRENCE PROTECTED 20.10.1905,22791,2.04 MB,01f6-3b34-2fee-1a9c-c189
2014-11-09T08:16:10.620Z,2014-11-09T08:16:10.620Z,545f22ca33e40661287ac593,not-selected,,,Photography,No known copyright restrictions,2400 x 1769,MA_I085733.jpg,JPEG,81430,"Miners claim at Blue Spur, Gabriel’s Gully, Central Otago",191390,7.09 MB,4fe0-3489-9175-f205-bc9d
2014-11-09T08:26:58.477Z,2014-11-09T08:26:58.477Z,545f255233e406613f8d6a70,not-selected,,,Photography,No known copyright restrictions,3000 x 2201,MA_I078726.jpg,JPEG,75215,"Tuapeka Blue Spur goldmines, British America claim",194918,1.45 MB,a057-82b8-fb3a-b498-6592
2014-11-09T08:27:42.493Z,2014-11-09T08:27:42.493Z,545f257ebcb79c14f5770e5a,not-selected,,,Photography,No known copyright restrictions,640 x 490,MA_I023610.640x640.jpg,JPEG,18266,Blue Spur,23161,0.24 MB,dddd-a870-6a5c-3923-2f47
2014-11-09T09:14:52.554Z,2014-11-09T09:14:52.554Z,545f308cbcb79c1500f5b8e2,not-selected,,,Photography,No known copyright restrictions,479 x 640,MA_I018388.640x640.jpg,JPEG,11260,Samoan War Canoe,211361,0.25 MB,579f-62c2-51f0-b779-2ab1
2014-11-09T17:05:14.350Z,2014-11-09T17:05:14.350Z,545f9eca248196694a43ac33,not-selected,,,Photography,No known copyright restrictions,3759 x 5000,MA_I223415.5000x5000.jpg,JPEG,221951,"[marble sculpture, Vatican]",1145390,2.17 MB,880a-5bcf-585d-5fd6-c2b9
2014-11-09T23:20:46.414Z,2014-11-09T23:20:46.414Z,545ff6cec9e1634fd10c480a,not-selected,,,Photography,No known copyright restrictions,3500 x 2941,MA_I061942.9612x8076.jpg,JPEG,59077,"Wellington and Masterton Road, near Carterton, looking South, NZ",127940,6.94 MB,53cd-798f-8a05-2b3d-6f93
2014-11-09T23:22:35.593Z,2014-11-09T23:22:35.593Z,545ff73bbcb79c14dd9ec25d,not-selected,,,Photography,No known copyright restrictions,3500 x 2943,MA_I061947.9537x8018.jpg,JPEG,59082,"Remutaka [Rimutaka] Hill, one mile from top, looking down on the Wellington side",127949,6.52 MB,9191-c70a-0172-23f0-8ee9
2014-11-09T23:23:57.557Z,2014-11-09T23:23:57.557Z,545ff78dbcb79c1517189131,not-selected,,,Photography,No known copyright restrictions,3500 x 2943,MA_I061947.9537x8018.jpg,JPEG,59082,"Remutaka [Rimutaka] Hill, one mile from top, looking down on the Wellington side",127949,6.52 MB,457d-b8cc-f513-dc21-652e
2014-11-09T23:47:08.798Z,2014-11-09T23:47:08.798Z,545ffcfc248196695e9f5773,not-selected,,,Photography,No known copyright restrictions,3500 x 2959,MA_I061939.9565x8087.jpg,JPEG,59074,"Township of Featherston, Wairarapa, New Zealand",127937,6.79 MB,4b03-4cda-ecd6-0e16-2322
2014-11-09T23:49:50.415Z,2014-11-09T23:49:50.415Z,545ffd9e80a7bd68298bf8d0,not-selected,,,Photography,No known copyright restrictions,5263 x 4260,MA_I156142.jpg,JPEG,151546,"Distant View of Masterton, Wairarapa, from the Opaki Plains, N.Z.  From the album: New Zealand scenery: Wellington to the Wairarapa.",982794,3.27 MB,f948-35b0-a818-d606-edb4
2014-11-09T23:56:03.302Z,2014-11-09T23:56:03.302Z,545fff13c9e1634f7c3b4272,not-selected,,,Photography,No known copyright restrictions,13663 x 4184,MA_I156879.jpg,JPEG,152307,"Wairarapa Plains and Waipoua River from the Opaki Ridge, Masterton, NZ. From the album: Photographs of New Zealand Scenery - Wellington to the Wairapapa.",982967,9.79 MB,ed1e-6b5f-deee-4b55-a6e8
2014-11-09T23:57:42.210Z,2014-11-09T23:57:42.210Z,545fff76e8759667f281aa48,not-selected,,,Photography,No known copyright restrictions,9602 x 4288,MA_I156867.jpg,JPEG,152295,"Ford of Waiohini River at Greytown, Wairarapa, New Zealand.  From the album: Photographs of New Zealand Scenery - Wellington to the Wairapapa.",982958,7.25 MB,89d0-7c4c-c10e-075a-6b76
2014-11-10T00:09:17.251Z,2014-11-10T00:09:17.251Z,5460022de87596681e738052,not-selected,,,Photography,No known copyright restrictions,3500 x 2939,MA_I061925.9588x8052.jpg,JPEG,59061,"Greytown, Wairarapa, New Zealand, looking towards Wellington",127893,6.28 MB,7867-9f44-4177-6d5e-2af4
2014-11-10T00:12:35.110Z,2014-11-10T00:12:35.110Z,546002f380a7bd684accb6d4,not-selected,,,Art,No known copyright restrictions,2400 x 1987,MA_I080944.jpg,JPEG,77050,"Blue and silver, Pas-de-Calais",37972,3.85 MB,5d3a-94cd-1992-62b2-1bca
